household_key,recency,frequency,monetary,avg_basket,active_days,tenure_days,purchase_rate,avg_items_per_basket,max_items_per_basket,trips_morning,trips_afternoon,trips_evening,unique_stores_visited,top_store_share,coupons_redeemed,coupon_redemption_rate,was_targeted_by_campaign,pct_spend_on_discount,private_label_ratio,top_department,dept_diversity,commodity_diversity,unique_products,return_rate,last_purchase_day,churned,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,has_demographics,recency_log,frequency_log,monetary_log,avg_basket_log,purchase_rate_log,avg_items_per_basket_log,coupon_redemption_rate_log
11,209,5,33.39,6.678,5,511,0.009784735812133072,4.0,8,2,2,1,1,1.0,0.0,0.0,0,0.24746450304259635,0.3888888888888889,GROCERY,6,14,17,0.0,412,1,,,,,,,,0,5.3471075307174685,1.791759469228055,3.537765824444175,2.038359096578606,0.0097371752778583,1.6094379124341003,0.0
12,117,7,266.21,38.03000000000001,7,549,0.012750455373406194,14.714285714285714,36,5,1,1,2,0.7142857142857143,0.0,0.0,0,0.10939747750158912,0.25,GROCERY,7,48,75,0.0,504,1,,,,,,,,0,4.770684624465665,2.0794415416798357,5.5880348661118875,3.664330581192524,0.012669852741051747,2.7545702167371027,0.0
13,0,229,11120.26,48.560087336244536,168,520,0.4403846153846154,6827.46288209607,31721,97,82,50,1,1.0,21.0,0.09170305676855896,1,0.12442551610050918,0.31068464730290457,GROCERY,15,155,902,0.16,709,0,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2,1,0.0,5.438079308923196,9.316613870738072,3.903185818991926,0.3649101719417464,8.828854873370538,0.0877389143080068
14,1,128,2311.41,18.057890625000002,88,617,0.20745542949756887,922.578125,10757,16,41,65,15,0.4140625,3.0,0.0234375,1,0.1857333089084914,0.32275132275132273,GROCERY,11,106,500,0.10714285714285714,704,0,,,,,,,,0,0.6931471805599453,4.859812404361672,7.746045549710301,2.9474812218498156,0.18851519447417167,6.828255392704405,0.02316705928153438
15,1,39,795.6,20.400000000000002,36,599,0.0651085141903172,9.948717948717949,60,9,16,13,5,0.6923076923076923,0.0,0.0,0,0.1537340580558008,0.3143939393939394,GROCERY,11,84,208,0.09090909090909091,705,0,,,,,,,,0,0.6931471805599453,3.6888794541139363,6.680352670747544,3.0633909220278057,0.06307668522934054,2.393222367098978,0.0
16,8,93,1486.02,15.978709677419355,85,523,0.17782026768642448,872.9677419354839,11613,33,52,8,2,0.946236559139785,0.0,0.0,1,0.10276412553887768,0.21739130434782608,GROCERY,10,108,276,0.0,690,0,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,1,2.1972245773362196,4.543294782270004,7.304529396268832,2.8319601872666285,0.16366549946859688,6.773043466433762,0.0
17,11,118,4870.44,41.27491525423729,95,597,0.19765494137353434,2430.5254237288136,16998,41,69,8,4,0.9322033898305084,0.0,0.0,1,0.19060589391746258,0.3472367049009385,GROCERY,12,122,420,0.024193548387096774,689,0,65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,1,2.4849066497880004,4.77912349311153,8.491144860254598,3.744193890151938,0.18036542930140556,7.796274085774706,0.0
18,3,126,5561.2,44.13650793650794,103,527,0.23908918406072105,1450.0714285714287,15005,35,78,13,7,0.4444444444444444,8.0,0.06349206349206349,1,0.13449881019265697,0.2604712041884817,GROCERY,11,135,579,0.1411042944785276,711,0,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,1,1.3862943611198906,4.844187086458591,8.623748992435813,3.8096914076637955,0.21437658073506874,7.280057478806569,0.061557892999433365
19,0,360,9823.82,27.28838888888889,249,548,0.656934306569343,1170.2472222222223,15332,56,223,81,9,0.30833333333333335,1.0,0.002777777777777778,1,0.2128261054210544,0.27324856644228374,GROCERY,17,169,1639,0.057007125890736345,711,0,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,1,0.0,5.8888779583328805,9.192667115958951,3.342451433846911,0.5049690916532777,7.065824461914577,0.0027739268827252344
20,0,319,6168.36,19.336551724137934,247,540,0.5907407407407408,1249.2068965517242,16431,74,170,73,9,0.6300940438871473,0.0,0.0,1,0.10120473501075343,0.4445100354191263,GROCERY,12,108,414,0.025839793281653745,711,0,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown,1,0.0,5.768320995793772,8.727350383804593,3.0124198444949846,0.46419978242593535,7.131064333841259,0.0
21,17,25,789.07,31.562800000000003,21,549,0.04553734061930783,1550.0,10004,2,8,15,7,0.32,0.0,0.0,0,0.14335808580858087,0.5127118644067796,GROCERY,9,79,196,0.14814814814814814,682,0,,,,,,,,0,2.8903717578961645,3.258096538021482,6.6721215491305825,3.483170532522969,0.044530954810035786,7.346655163176539,0.0
22,0,110,5204.3,47.31181818181818,98,596,0.18456375838926176,3098.409090909091,28092,34,63,13,5,0.4727272727272727,25.0,0.22727272727272727,1,0.11460477650333278,0.20239880059970014,GROCERY,15,132,616,0.20588235294117646,711,0,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0.0,4.709530201312334,8.557432616275737,3.8776762135819385,0.16937457042789233,8.038966756467953,0.2047944126460132
23,0,97,2844.06,29.320206185567013,88,512,0.189453125,1724.5876288659795,15841,20,10,65,4,0.9587628865979382,0.0,0.0,1,0.07825585314630921,0.16521739130434782,GROCERY,11,126,416,0.00909090909090909,711,0,,,,,,,,0,0.0,4.584967478670572,7.95333943596898,3.4118143610665834,0.17349364267038925,7.453322925870979,0.0
24,2,54,1317.72,24.40222222222222,50,562,0.09608540925266904,12.166666666666666,67,11,23,19,2,0.9629629629629629,0.0,0.0,0,0.2005969497324646,0.40454545454545454,GROCERY,9,86,276,0.013513513513513514,709,0,,,,,,,,0,1.0986122886681098,4.007333185232471,7.184416848150453,3.234836659261413,0.0917451136398287,2.5776883832389665,0.0
25,3,79,2803.66,35.489367088607594,73,610,0.12950819672131147,191.16455696202533,14007,11,29,39,5,0.569620253164557,0.0,0.0,1,0.15175810677526128,0.32286995515695066,GROCERY,12,111,414,0.010638297872340425,705,0,35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,1,1.3862943611198906,4.382026634673881,7.9390375984888015,3.5970209055077884,0.12178231384630164,5.258352072465693,0.0
26,0,92,1590.0,17.282608695652176,85,571,0.16112084063047286,9.304347826086957,68,75,12,5,2,0.6739130434782609,0.0,0.0,1,0.14002455527370478,0.4439461883408072,GROCERY,11,105,408,0.0,705,0,,,,,,,,0,0.0,4.532599493153256,7.372118028337787,2.905950263483853,0.14938578052985227,2.3325659252059814,0.0
27,0,328,4774.18,14.555426829268294,306,586,0.5597269624573379,7.564024390243903,64,11,62,255,15,0.43597560975609756,0.0,0.0,1,0.07994927770840078,0.14123456790123456,GROCERY,10,88,498,0.08641975308641975,711,0,45-54,U,25-34K,Probable Renter,Single Female,1,None/Unknown,1,0.0,5.796057750765372,8.47118694853942,2.744409569977521,0.4445107818771374,2.1475702187201,0.0
28,0,113,1869.58,16.54495575221239,108,506,0.22332015810276679,290.0,14179,4,16,88,7,0.9026548672566371,0.0,0.0,1,0.12187950607542263,0.10707803992740472,GROCERY,12,99,323,0.032,702,0,,,,,,,,0,0.0,4.736198448394496,7.534003822186638,2.864766487072032,0.20156860339713054,5.673323267171493,0.0
29,43,59,1216.82,20.624067796610174,50,587,0.10051107325383304,10.525423728813559,50,16,5,33,4,0.6779661016949152,1.0,0.01694915254237288,1,0.1841690635664528,0.3926940639269406,GROCERY,11,78,309,0.028985507246376812,709,0,,,,,,,,0,3.784189633918261,4.0943445622221,7.10481765409759,3.0738069442175746,0.0957746839545054,2.4445553542644327,0.016807118316381237
30,10,24,492.96,20.540000000000003,18,544,0.04411764705882353,2698.625,12627,4,11,9,4,0.7083333333333334,0.0,0.0,0,0.1420814479638009,0.4107142857142857,GROCERY,12,62,102,0.03571428571428571,711,0,,,,,,,,0,2.3978952727983707,3.2188758248682006,6.202454542249622,3.0699116717282426,0.04317217186520872,7.900868153457576,0.0
31,0,41,3024.47,73.76756097560977,39,522,0.07854406130268199,4617.951219512195,18188,12,19,10,9,0.4878048780487805,2.0,0.04878048780487805,1,0.23558670471289672,0.19770408163265307,GROCERY,12,127,558,0.15942028985507245,710,0,35-44,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0.0,3.7376696182833684,8.014821730296804,4.314384114118792,0.07561204025705166,8.4379229495418,0.04762804898925462
32,11,104,3006.32,28.906923076923075,94,572,0.18181818181818182,2540.105769230769,18482,16,48,40,16,0.21153846153846154,0.0,0.0,1,0.1000119746138187,0.29069767441860467,GROCERY,14,144,628,0.034482758620689655,711,0,,,,,,,,0,2.4849066497880004,4.653960350157523,8.008804595683664,3.3980899946293692,0.16705408466316618,7.840354607495491,0.0
33,14,43,1017.79,23.669534883720928,38,511,0.08414872798434442,530.7209302325581,8624,11,13,19,5,0.46511627906976744,0.0,0.0,0,0.18320653569594247,0.4632352941176471,GROCERY,10,64,218,0.11538461538461539,711,0,,,,,,,,0,2.70805020110221,3.784189633918261,6.926370927587951,3.2055690768459404,0.08079509654357937,6.276118784476086,0.0
34,3,27,290.02,10.741481481481483,25,617,0.04376012965964344,378.3703703703704,6002,6,11,9,4,0.5925925925925926,0.0,0.0,0,0.16060316633382538,0.2903225806451613,GROCERY,7,47,88,0.0,709,0,,,,,,,,0,1.3862943611198906,3.332204510175204,5.673391993332133,2.4631279973654174,0.0428297021989658,5.938512958432206,0.0
35,32,53,949.9300000000001,17.923207547169813,41,600,0.08833333333333333,826.9056603773585,10214,7,19,26,5,0.7735849056603774,0.0,0.0,0,0.11690279637066785,0.34375,GROCERY,11,76,197,0.03333333333333333,707,0,,,,,,,,0,3.4965075614664802,3.9889840465642745,6.857440453106524,2.940389081346219,0.0846474740602847,6.718899211151656,0.0
36,2,186,3895.25,20.942204301075268,150,533,0.34896810506566606,55.053763440860216,8399,84,79,23,5,0.6612903225806451,0.0,0.0,1,0.1522943167103731,0.2601626016260163,GROCERY,12,121,593,0.00904977375565611,708,0,,,,,,,,0,1.0986122886681098,5.231108616854587,8.267769831081546,3.08841191931154,0.29933993355520216,4.02631129161485,0.0
37,4,51,2309.87,45.29156862745098,45,534,0.09550561797752809,1362.0980392156862,17284,5,24,21,11,0.3333333333333333,0.0,0.0,1,0.16588607023562335,0.10989010989010989,GROCERY,13,61,150,0.1111111111111111,710,0,,,,,,,,0,1.6094379124341003,3.9512437185814275,7.745379355987681,3.8349598414305968,0.09121600827166165,7.217515358101466,0.0
38,70,27,706.13,26.152962962962963,27,519,0.05202312138728324,10.185185185185185,94,6,12,9,4,0.5925925925925926,0.0,0.0,1,0.08030841766628896,0.06896551724137931,GROCERY,7,68,133,0.0,551,1,,,,,,,,0,4.2626798770413155,3.332204510175204,6.561214524523949,3.301486173499506,0.0507150925790164,2.4145901513705406,0.0
39,2,55,4477.8,81.41454545454545,47,595,0.09243697478991597,246.21818181818182,11583,28,8,19,3,0.509090909090909,0.0,0.0,1,0.14295721676418405,0.22820823244552058,GROCERY,18,164,1128,0.046875,685,0,35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,1,1.0986122886681098,4.02535169073515,8.407110432386043,4.411761943843781,0.08841095734405305,5.510271273923215,0.0
40,0,336,10685.53,31.802172619047617,256,546,0.6153846153846154,2951.595238095238,18687,147,150,39,6,0.9345238095238095,14.0,0.041666666666666664,1,0.0888507639716121,0.4129275180420458,GROCERY,18,189,1371,0.035,710,0,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0.0,5.820082930352362,9.276739348892137,3.4904947515820313,0.4795730802618863,7.99043980431512,0.040821994520255124
41,4,61,2488.11,40.78868852459016,58,550,0.11090909090909092,19.42622950819672,43,0,5,56,2,0.9672131147540983,0.0,0.0,1,0.16585311886067544,0.17801672640382318,GROCERY,9,84,312,0.0547945205479452,707,0,,,,,,,,0,1.6094379124341003,4.127134385045092,7.819680495846651,3.732625693449798,0.10517868094507873,3.016819835174087,0.0
42,2,75,1701.54,22.6872,74,521,0.14395393474088292,15.813333333333333,31,65,9,1,1,1.0,0.0,0.0,1,0.220624676508444,0.4391727493917275,GROCERY,12,71,272,0.0449438202247191,710,0,65+,U,50-74K,Unknown,Single Male,1,None/Unknown,1,1.0986122886681098,4.330733340286331,7.439876532608166,3.164934817854793,0.13449062531198283,2.822172222428609,0.0
43,50,95,838.69,8.828315789473685,81,506,0.18774703557312253,452.58947368421053,8893,15,53,27,2,0.9894736842105263,0.0,0.0,1,0.0941209509305164,0.35014005602240894,DRUG GM,10,65,228,0.009433962264150943,710,0,35-44,B,15-24K,Homeowner,2 Adults Kids,5+,3+,1,3.9318256327243257,4.564348191467836,6.73303277610348,2.2852675857538025,0.17205826524774204,6.117192545980718,0.0
44,83,30,819.58,27.31933333333333,27,540,0.05555555555555555,12.666666666666666,108,6,11,13,8,0.3333333333333333,0.0,0.0,0,0.13377371452729483,0.21337579617834396,GROCERY,11,88,269,0.09375,628,0,,,,,,,,0,4.430816798843313,3.4339872044851463,6.710011407300643,3.343544728058795,0.054067221270275766,2.614959778036198,0.0
45,34,57,807.09,14.159473684210525,55,521,0.10940499040307101,5.298245614035087,36,22,9,26,2,0.9824561403508771,0.0,0.0,1,0.07612266623931134,0.3177966101694915,GROCERY,6,64,157,0.017543859649122806,587,1,,,,,,,,0,3.5553480614894135,4.060443010546419,6.694673438456734,2.7186256622112017,0.10382382691901056,1.8402711206537286,0.0
46,1,114,6842.87,60.0251754385965,97,607,0.18780889621087316,828.4298245614035,27685,22,49,42,8,0.8859649122807017,2.0,0.017543859649122806,1,0.15696120814447861,0.21021021021021022,GROCERY,20,189,1099,0.08759124087591241,711,0,45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+,1,0.6931471805599453,4.74493212836325,8.831108640091763,4.111286491139234,0.17211034622545082,6.720738506366878,0.017391742711869183
47,5,98,2047.2,20.88979591836735,89,512,0.19140625,6.857142857142857,33,12,28,58,10,0.7653061224489796,0.0,0.0,1,0.11369333408375581,0.0989010989010989,GROCERY,14,132,400,0.018018018018018018,708,0,,,,,,,,0,1.791759469228055,4.59511985013459,7.624716637641337,3.0860205884381986,0.17513433212784915,2.0614230361771577,0.0
48,46,45,924.0,20.53333333333333,40,509,0.08840864440078586,922.3777777777777,19615,13,16,16,1,1.0,0.0,0.0,1,0.1572572554313128,0.3003533568904594,GROCERY,12,76,199,0.04,709,0,19-24,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,3.8501476017100584,3.828641396489095,6.829793737512425,3.0696021221204464,0.08471667019676107,6.8280384441322095,0.0
49,0,96,5242.3,54.60729166666667,84,560,0.17142857142857143,4007.5208333333335,20485,11,44,40,5,0.6145833333333334,0.0,0.0,1,0.1794713668799001,0.24034334763948498,GROCERY,14,154,911,0.03305785123966942,702,0,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0.0,4.574710978503383,8.564706350084922,4.018314337741705,0.15822400521489413,8.296177582758595,0.0
50,43,14,244.4,17.45714285714286,14,508,0.027559055118110236,7.071428571428571,21,4,2,8,3,0.5,0.0,0.0,0,0.07909114887524023,0.27710843373493976,GROCERY,7,40,76,0.0,675,0,,,,,,,,0,3.784189633918261,2.70805020110221,5.502889532276811,2.9154514422931883,0.02718614030415683,2.088330489097082,0.0
51,1,77,2723.31,35.36766233766234,72,607,0.12685337726523888,14.805194805194805,74,40,20,17,2,0.5064935064935064,0.0,0.0,1,0.1042980903954059,0.2709832134292566,GROCERY,11,108,409,0.012048192771084338,710,0,,,,,,,,0,0.6931471805599453,4.356708826689592,7.90997046402485,3.5936799824669516,0.11942912656305218,2.760338671133843,0.0
52,5,121,4594.86,37.974049586776864,111,608,0.19901315789473684,1259.2644628099174,30544,15,21,84,8,0.6694214876033058,0.0,0.0,1,0.09343882251970523,0.18542568542568544,GROCERY,17,176,895,0.03597122302158273,711,0,45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1,1.791759469228055,4.804021044733257,8.432911177234022,3.662896029445153,0.18149885004249114,7.139076869040447,0.0
53,2,48,1613.69,33.618541666666665,45,548,0.08759124087591241,1511.9166666666667,10609,3,12,33,2,0.9791666666666666,0.0,0.0,0,0.15651837564619236,0.34801762114537443,GROCERY,12,94,280,0.03571428571428571,706,0,,,,,,,,0,1.0986122886681098,3.8918202981106265,7.3868982667675125,3.5443894248477275,0.08396538011733422,7.321794634060436,0.0
54,126,11,103.09,9.371818181818183,11,587,0.018739352640545145,3.8181818181818183,16,3,3,5,5,0.45454545454545453,0.0,0.0,0,0.152359809241901,0.38235294117647056,GROCERY,3,19,33,0.0,495,1,,,,,,,,0,4.844187086458591,2.4849066497880004,4.645255909527377,2.3390923378099076,0.018565934122535287,1.5723966407537513,0.0
55,0,120,873.45,7.2787500000000005,116,554,0.21660649819494585,2.9916666666666667,16,10,20,90,3,0.975,0.0,0.0,1,0.15220429794420826,0.271875,GROCERY,9,73,202,0.014184397163120567,703,0,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0.0,4.795790545596741,6.7735951172952005,2.113691990817052,0.19606542416502323,1.3842088546288693,0.0
56,2,174,5556.26,31.932528735632186,155,525,0.3314285714285714,61.05747126436781,8294,71,85,18,2,0.9942528735632183,2.0,0.011494252873563218,1,0.14681706715967563,0.32155844155844154,GROCERY,17,167,923,0.1044776119402985,709,0,55-64,A,100-124K,Homeowner,2 Adults Kids,4,2,1,1.0986122886681098,5.1647859739235145,8.622860460020567,3.4944608846829825,0.2862524796421865,4.128060911563703,0.011428695823622754
57,0,158,2581.14,16.336329113924048,126,569,0.27768014059753954,782.9683544303797,12043,53,37,66,12,0.5126582278481012,0.0,0.0,1,0.14321848237402907,0.1796657381615599,DRUG GM,13,130,436,0.06701030927835051,709,0,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0.0,5.0689042022202315,7.856373791470348,2.852804248474948,0.24504604340718844,6.664368655288785,0.0
58,4,237,9049.42,38.183206751054854,203,540,0.4388888888888889,4449.282700421941,21746,124,67,46,7,0.7383966244725738,7.0,0.029535864978902954,1,0.1338908689976226,0.21677215189873417,GROCERY,18,181,1248,0.04477611940298507,711,0,25-34,A,150-174K,Homeowner,2 Adults Kids,4,2,1,1.6094379124341003,5.472270673671475,9.110566444456895,3.668248255799476,0.3638712108093274,8.400722901327162,0.029108084158070684
59,8,37,1433.76,38.75027027027027,32,554,0.06678700361010831,757.6756756756756,10966,7,21,9,6,0.5135135135135135,0.0,0.0,0,0.17504703709457478,0.37971698113207547,GROCERY,11,116,346,0.1590909090909091,684,0,,,,,,,,0,2.1972245773362196,3.6375861597263857,7.2687528668195585,3.6826166403293086,0.06465133065881438,6.6315743812997985,0.0
60,385,5,296.78000000000003,59.355999999999995,5,530,0.009433962264150943,2235.0,11057,0,3,2,2,0.6,0.0,0.0,0,0.10917004352393815,0.3069306930693069,GROCERY,10,56,95,0.0,697,0,,,,,,,,0,5.955837369464831,1.791759469228055,5.6963549588274045,4.1002603626514045,0.00938974034983903,7.71244383427499,0.0
61,146,9,167.55,18.616666666666664,9,543,0.016574585635359115,6.666666666666667,12,6,3,0,4,0.4444444444444444,0.0,0.0,0,0.23479174278407017,0.2222222222222222,GROCERY,5,22,36,0.0,695,0,,,,,,,,0,4.990432586778736,2.302585092994046,5.12723244168007,2.976379545038176,0.01643872634315987,2.03688192726104,0.0
62,4,31,340.46,10.98258064516129,26,555,0.055855855855855854,8.161290322580646,22,10,13,8,3,0.6129032258064516,0.0,0.0,0,0.17169063085419556,0.4824561403508772,GROCERY,8,81,174,0.030303030303030304,669,0,,,,,,,,0,1.6094379124341003,3.4657359027997265,5.833230541843087,2.4834539822740496,0.05435167583057811,2.21498703367606,0.0
63,6,29,514.98,17.75793103448276,26,536,0.054104477611940295,4.758620689655173,15,29,0,0,1,1.0,0.0,0.0,0,0.11521544911002682,0.2641509433962264,GROCERY,7,33,60,0.0,710,0,,,,,,,,0,1.9459101490553132,3.4011973816621555,6.246068005040464,2.9316166514877477,0.052691570075638954,1.750697982430281,0.0
64,1,200,2948.4,14.742,159,611,0.32733224222585927,7.055,60,58,73,69,7,0.94,0.0,0.0,1,0.12719134651249533,0.2954324586977648,GROCERY,10,139,580,0.045454545454545456,711,0,,,,,,,,0,0.6931471805599453,5.303304908059076,7.9893570388168405,2.7563322997202584,0.2831710949438176,2.0862930166289377,0.0
65,1,113,1901.48,16.82725663716814,90,585,0.19316239316239317,4.823008849557522,31,39,37,37,5,0.7168141592920354,0.0,0.0,1,0.09564869993674469,0.17647058823529413,GROCERY,10,118,379,0.02459016393442623,671,0,,,,,,,,0,0.6931471805599453,4.736198448394496,7.55091357719701,2.8807285578479367,0.17660725553051598,1.7618171126129767,0.0
66,11,28,363.68,12.98857142857143,22,503,0.055666003976143144,8.071428571428571,44,1,15,11,7,0.39285714285714285,0.0,0.0,0,0.16954764460073526,0.3313253012048193,GROCERY,7,69,150,0.034482758620689655,685,0,,,,,,,,0,2.4849066497880004,3.367295829986474,5.899020256716702,2.638240669708703,0.05417185114219963,2.205129756843333,0.0
67,0,170,7172.82,42.19305882352941,142,518,0.3281853281853282,1500.9470588235295,20138,62,83,25,10,0.711764705882353,33.0,0.19411764705882353,1,0.2019710352607928,0.20798422868408084,GROCERY,19,173,1006,0.20704845814977973,709,0,45-54,A,Under 15K,Homeowner,2 Adults Kids,5+,3+,1,0.0,5.14166355650266,8.878193567172492,3.7656798069591293,0.2838135956738606,7.3145175845814006,0.17740754199152559
68,0,495,4381.77,8.852060606060608,277,616,0.8035714285714286,341.56363636363636,17692,139,249,107,9,0.8606060606060606,1.0,0.00202020202020202,1,0.17358618673556953,0.28407310704960836,GROCERY,15,160,901,0.028933092224231464,706,0,,,,,,,,0,0.0,6.206575926724928,8.385436223568503,2.287680631889858,0.5897688261061103,5.83645744004553,0.0020181641562371823
69,2,150,4725.2300000000005,31.501533333333338,120,535,0.2803738317757009,15.84,192,48,47,55,15,0.36666666666666664,0.0,0.0,1,0.1609227447233932,0.2791519434628975,GROCERY,13,148,1029,0.04918032786885246,711,0,,,,,,,,0,1.0986122886681098,5.017279836814924,8.460883123511449,3.4812872677099547,0.2471520913662187,2.8237570088141806,0.0
70,10,24,69.91,2.9129166666666664,24,613,0.03915171288743882,1.7083333333333333,8,23,1,0,1,1.0,0.0,0.0,0,0.1131548902702017,0.13157894736842105,DRUG GM,4,11,19,0.0,705,0,,,,,,,,0,2.3978952727983707,3.2188758248682006,4.261411467315905,1.3642830464685765,0.03840471963595195,0.9963334395476915,0.0
71,7,78,3022.2200000000003,38.74641025641026,74,558,0.13978494623655913,158.73076923076923,11586,26,37,14,2,0.9358974358974359,0.0,0.0,1,0.13186778464304896,0.2539130434782609,DRUG GM,14,105,359,0.011111111111111112,711,0,35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown,1,2.0794415416798357,4.3694478524670215,8.014077767520146,3.6825195290074904,0.1308396009588112,5.073489705609272,0.0
72,2,102,6212.24,60.90431372549019,94,547,0.18647166361974407,1300.1960784313726,13641,16,54,32,9,0.5588235294117647,0.0,0.0,1,0.1364992876255343,0.2979838709677419,GROCERY,16,167,995,0.06542056074766354,694,0,,,,,,,,0,1.0986122886681098,4.634728988229636,8.734437777999421,4.125589865880993,0.1709839142821088,7.171039180785381,0.0
